origin,destination,price,duration_minutes,airline,departure_time,arrival_time,stops,baggage,details
New York,São Paulo,1959.33,1300,B6,2026-02-04 06:00:00,2026-02-04 08:48:00,2,1 PC,"JFK->MCO (B6583), MCO->BOG (AV29), BOG->GRU (AV85)"
New York,São Paulo,1959.33,1710,B6,2026-02-04 09:45:00,2026-02-04 12:39:00,2,1 PC,"JFK->MCO (B6883), MCO->BOG (AV219), BOG->GRU (AV185)"
New York,São Paulo,1983.79,1065,AV,2026-02-04 05:50:00,2026-02-04 09:55:00,2,0 PC,"JFK->SAL (AV659), SAL->BOG (AV71), BOG->GRU (AV161)"
New York,São Paulo,1983.79,1090,AV,2026-02-04 02:30:00,2026-02-04 06:30:00,2,0 PC,"JFK->SAL (AV571), SAL->BOG (AV383), BOG->GRU (AV249)"
New York,São Paulo,1983.79,1265,AV,2026-02-04 02:30:00,2026-02-04 06:30:00,2,0 PC,"JFK->SAL (AV571), SAL->BOG (AV71), BOG->GRU (AV161)"
New York,São Paulo,1983.79,1265,AV,2026-02-04 02:30:00,2026-02-04 06:30:00,2,0 PC,"JFK->SAL (AV571), SAL->BOG (AV383), BOG->GRU (AV161)"
New York,São Paulo,3150.88,850,AC,2026-02-04 16:50:00,2026-02-04 18:35:00,1,0 PC,"JFK->YYZ (AC8555), YYZ->GRU (AC90)"
New York,São Paulo,3150.88,1275,AC,2026-02-04 09:45:00,2026-02-04 11:30:00,1,0 PC,"JFK->YYZ (AC8553), YYZ->GRU (AC90)"
New York,São Paulo,3258.32,820,G3,2026-02-04 00:35:00,2026-02-04 06:15:00,1,0 PC,"JFK->BOG (G35817), BOG->GRU (G36604)"
New York,São Paulo,3258.32,1205,G3,2026-02-04 00:35:00,2026-02-04 06:15:00,1,0 PC,"JFK->BOG (G35817), BOG->GRU (G36606)"
New York,São Paulo,3258.32,1435,G3,2026-02-04 14:20:00,2026-02-04 20:25:00,1,0 PC,"JFK->BOG (G35813), BOG->GRU (G36604)"
New York,São Paulo,3381.83,570,LA,2026-02-04 19:25:00,2026-02-05 06:55:00,0,0 PC,JFK->GRU (LA8181)
New York,São Paulo,3381.83,605,LA,2026-02-04 21:50:00,2026-02-05 09:55:00,0,0 PC,JFK->GRU (LA6350)
New York,São Paulo,3406.28,1196,B6,2026-02-04 22:59:00,2026-02-05 00:16:00,1,0 PC,"JFK->BOS (B61118), BOS->GRU (LA8165)"
New York,São Paulo,3508.05,800,LA,2026-02-04 17:30:00,2026-02-04 20:36:00,1,0 PC,"JFK->MCO (LA6657), MCO->GRU (LA8127)"
New York,Miami,184.69,199,F9,2026-02-04 10:02:00,2026-02-04 13:21:00,0,0 PC,JFK->MIA (F91809)
New York,Miami,374.9,397,F9,2026-02-04 06:10:00,2026-02-04 09:13:00,1,0 PC,"JFK->ATL (F94817), ATL->MIA (F94406)"
